



! Diffraction pattern from  CeO2 CuKalpha
#
     25.000   0.025  143.000
      29      22      36      29      39      31      43      53      38      49
      38      46      40      49      50      47      57      82      75     110
     121     136     156     184     249     243     292     299     357     561
     942    1536    3180    6256   11067   11620    7656    3648    2520    3249
    5329    5944    3757    1640     723     445     299     243     174     174
     139     118      82      86      70      56      56      53      53      34
      39      56      38      47      39      44      43      31      29      33
      32      33      24      32      33      26      28      36      26      36
      32      25      20      31      32      20      29      26      24      24
      20      25      30      22      23      22      25      19      26      24
      25      23      17      16      24      25      31      21      16      30
      17      16      16      16      17      13      24      23      21      22
      19      16      23      31      23      21      25      27      28      36
      32      40      37      62      50      47      65      54     106     102
     193     306     620    1274    2052    2079    1239     630     466     585
     882    1011     800     445     179     106      77      59      47      46
      33      43      38      27      26      24      30      20      21      19
      20      20      20      20      16      10      16      16      16      16
      12      12      15      16      13      10      13      15      16      10
      20      12      12      10      17      13       4      10      12      13
      10      10      16      10       5      10      12      16      16       2
      12       9      13      12      13      20      13      12      21      12
      10       5       7      17       9      16      10       9      10       9
      12       6      10      16      10      15      21      12      10      16
      16      16       9       9      10      20      15      10      10      12
      10       9      10      10      10      12      15      12      16      19
      12       9       6      12       6      13      10       6      16      12
      10      15      10      12       4       7      12      12       9      16
       9      15      13      15       9      12       4      10      12       7
       9       4      12      12      10       5      17      13      13      16
      13       7      12      15       9      15      12       9      10       5
       9      12      16      12       7       7      10       7       7      10
      10       9      12       7      15      13      10       4      10      12
       9       5      12      10       7      13       2      12      12      10
      12       9       7      12       5       6       7      10      12      12
      13       6       7      12       9      10       6      12      12       6
       5      10       9       9      13      10      10       9      15      12
      10       6       9      21       7       4      17       6      15       7
       7      10       7       6      12       4      10       6       9      12
       9       1       6      10       5       6       4      13      10      16
       7       6      10      10      10       5      10       5      10      10
       5       6       5      12      13      10      10       4      12      12
      10       7      16       6       9       7      10       6      10       6
       7      10       7       7       2      10      10       7      10      10
       7       7      10      12      16      12      10      13      12       4
       9       9      12       9       6       7      12      10       9      12
      13       9      12      13      13       9      17      10       9      12
      10       7      10       9      10      10      10       4      13      10
      12      15      20       6      15       9      13       5      12      12
      10      10      10      10      16       9      16      10      12      12
      16      15       7       5      17       9      17      21      17      16
      13      16      12      12      15      15      12      12      25      12
      21      13      13      16      22      21      16      19      16       9
      15      13      13      10      13      10      13      23      20      23
      26      27      38      33      46      37      43      43      50      43
      72      79     125     134     416     605    1764    2199    1672    1332
     396     285     316     428    1004    1102     784     519     171     134
      82      54      49      47      46      26      24      28      16      24
      25      21      24      16      21      23      15      23      24      10
      21      15      16      16      16      16      13      12      10      10
      13      21      13      12      10      12      12      15      12      12
       9       7      10      13      12      10      19      15      12      10
      15      16      10      10       6      16      15      13      12      12
      15      12      12      12      16      12      12       5       7      12
       5       6      10       6       7      16       4      15      10      12
      10      12      10      13      16      16      10      10      12      15
       7       9      12       9      17      10      12      10      10      13
       5      12       7      13       9       7      13      12      10      10
       9      13      10       9       9      15       6      10      10      13
       9      15      12      10      16      13      12      10      12       7
       9      16      10       9      10      12      13      10       9      12
      15      12      10      13       9       9      12       6      12      17
      12       9      10      10      10      16      16      10      15       5
      12       9      12      12      10      16      12      10       6      16
      12      10      10      16      20      12       6      15      12      13
      12      12      10      17      12      10      13       6       9      12
      16       7      12      12      10      10      10      10      13      10
      19      10       4      13      27      15      21      17      25      15
      16      13      12      16      15      16      19      16      17      17
      13      23      16       9      13      25      16      23      16      15
      21      30      15      25      25      24      16      12      16      19
      16      23      21      26      17      15      29      22      17      25
      34      30      25      23      23      30      26      38      49      46
      51      70      84      67      94      70      73      65      86      88
     100     153     204     302     497     852    1747    3136    4277    3733
    2209    1095     655     492     576     858    1560    2025    1789    1043
     552     306     190     156     116      98      57      53      56      59
      46      50      42      47      16      29      29      27      32      26
      27      28      26      28      31      32      32      23      22      20
      23      21      22      17      22      25      22      17      16      25
      24      25      26      19      21      28      36      27      17      24
      25      17      25      25      30      25      27      26      21      13
      30      30      23      29      34      42      54      56      53      64
      62      65      57      56      75      92     110     127     179     309
     610    1122    2190    2851    2520    1451     739     372     309     353
     556     876    1317    1324     961     515     262     166     100      68
      68      60      51      50      50      30      25      27      37      24
      31      26      28      27      24      17      26      26      24      20
      22      15      19      20      12      13      19      15      10      22
      19      16      12      13      16      19      12      23      13      16
      16      16      15      16      10      16      13      12      16      12
      15      16      13      15      12      10      10      10      12      15
      13      15      12      12       5      15      17      24      12       6
      10      12      20      12      17      10       7       4       9       5
      12      19      12      16      21       4       7      16      17      17
      16       9       6       4      20      15       7      17      10       9
      13      12      12      15      13      16      12      12      10      10
      10      12       9      10      17      13      10      10      12       6
      10       7      10      12       6      13      15      16      15       5
      16      10       7       7      10      10      12       7      15      12
      20      13      10      10      10       6      10      12      10      12
       9      12      15      12      16      15      12      16      20      12
      13      16       5       9       6      19      19       7      12      10
      12      16      21      13      12      15      15      16      20      10
       7      10       5      15      12      10      15       6       6       4
       9       9      10       7      10      12       6      13      16       4
       9      16      13       5       9      10      10      15      10      13
      12      16      10      12       6       5      15      20      10      16
      16       7      12      16       6      10       9      13      12      10
      12      20      12      10      12       9      12      16      15      10
      19      10       7      12      13      10      12       9      12       7
      12      13      13      19      10       9      17      21      13       9
      23      15      10      22      12      16       9      21      15      15
      12      21      12      16      16      15      13      24      22      16
      15      12       7      16      17      16      10      12      16      12
      22      15      17      19      16      16      16      15      19      16
      15      16      27      17      17      17      27      21      20      15
      12      16       9      24      16      22      16      20      20      27
      26      17      16      21      23      24      12      24      24      24
      23      30      44      32      36      47      44      51      64      56
      67      53      70      59      62      67      65      92      92     134
     161     222     331     561     948    1747    2937    3552    2992    1823
     985     635     412     327     372     547     906    1421    1730    1505
     973     538     299     184     116     114      90      79      60      49
      39      37      43      32      38      33      22      23      29      21
      26      25      24      29      24      25      16      16      22      10
      16      32      17      25      19      16      22      20       9      21
      13      21      19      20      20      12      16       7      25      16
      16      12      12      19      13      16      10      10      17      16
      13      10       7       7      17      10      12      12      10       9
      12      13      15      12      10      17      23      17      10       7
      12      12      15       9       5      12      13      10       2      16
      17      10      15      12      10      17      16      12       9      13
      12      10      10      13      16      10      10      12      10      10
